Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Cyprus,no data,no data,no data,no data,no data,46.748629253871,48.827620778244,53.47942915149,54.985154361527,55.6625391769,55.978819998301,57.524371764665,61.009842469963,63.00641484757,64.68660917259,64.029441925734,59.030881056993,53.149644519316,44.126125746991,52.820540280046,55.485602707896,64.986290025299,79.374607779595,102.91138044668,109.22198478895,107.50042071016,103.37203079548,93.884139982135,100.56060706412,95.507138723187,118.40196494646,112.41831540442,105.06292124754,101.0369911947,93.872550009329,85.713451886841
Czech Republic,no data,no data,no data,no data,no data,13.57164603779,11.577226794515,12.193712506798,13.955886607958,15.183558863959,16.989476127996,22.705947673747,25.831945364183,28.169311891968,28.376137102832,27.706011776841,27.56119506718,27.326725798173,28.119178007648,33.35754314269,37.070202636199,39.546141456502,44.154264019377,44.424232725075,41.859087672921,39.699566175997,36.589294734299,34.235746152761,32.070642360938,30.245754320827,39.133196771734,41.389991544337,42.50718602041,42.792039704382,42.446407647038,41.858177145796
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,84.18225072833,75.160569642437,78.018488274685,73.987131392368,71.172105907676,62.982052676787,56.381244064962,56.718035639454,58.164366715332,57.471032601705,53.532966556688,51.240256220622,46.475895393679,45.612146648708,50.02883473336,32.584721445479,31.368463148098,32.403156457175,34.194094375442,35.636639521731,36.854434564819,39.662379585535,37.887592113361,41.731835003946,42.614277264769,42.401169558445,42.182635235076,41.894211049611,42.113384392309
Denmark,no data,no data,66.770312508464,78.627004112159,75.23686507525,71.392680825445,68.260994242774,64.278279321089,60.279497161436,56.764082121849,52.354302586986,48.508303889245,49.080957432325,46.150098381696,44.155917455621,37.41225473413,31.549403778251,27.34595243052,33.313183122672,40.181796749747,42.58788045453,46.070885949837,44.894200639366,44.045609705666,44.270265222735,39.773693794209,37.199528040729,35.820063858986,34.213568042801,29.393170986305,34.544425433598,39.287431493982,42.556089626059,44.451191181273,45.277692169501,45.88312693707
Dominican Republic,no data,no data,no data,no data,no data,no data,no data,13.847914018737,13.248960086121,15.976978468313,16.707445424925,20.351414787157,21.486505329879,48.150230285723,34.345505045586,38.321536508462,36.021836114421,32.90674929451,33.606811137786,36.734168558547,37.310870514002,39.052634633598,42.320453913931,46.714612109302,44.911006806081,44.941451913872,46.818422786468,49.163008780902,50.661256942303,53.757862396802,68.770596704973,68.202747938374,66.762333419646,65.00647828006,63.348710811673,61.673807045359
Ecuador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,60.305601590084,52.161098680988,45.061849984731,38.665360204613,34.69996600383,31.127784063493,28.464342511992,24.228900209628,18.567916060934,17.69578506483,16.789384936231,17.495502789222,20.031400558337,27.075131010652,33.798114592275,43.166374277527,44.616679946288,46.139493026239,51.82480075759,68.921445035178,67.437854632525,65.780505621637,62.279556753624,59.950314032129,56.058067368724
Egypt,no data,no data,no data,no data,no data,no data,no data,no data,73.823864658193,72.397583825071,71.687351902996,79.146242539661,85.776013197922,97.094864261408,96.511849146413,98.262557395101,85.924228783672,76.267557432623,66.760614664739,69.450038414383,69.58954105574,72.829975628832,73.799605899564,84.020586970544,85.126572769953,88.457948928557,96.840890972171,103.16105042651,92.652138639744,83.800022547491,86.590373233968,90.598182424409,87.801101859844,84.441487913912,80.813953657122,77.017857830489
Estonia,no data,no data,no data,no data,no data,8.6688854621752,7.3068312031219,6.0413248829779,5.4060630390913,5.9274594117249,5.1069861823336,4.7681634275858,5.6583718095803,5.5980877106142,5.1134178375326,4.7025220372832,4.6318248623026,3.7655332055999,4.5040686272447,7.198937222678,6.6073603531462,6.1057288305218,9.7641372242151,10.16214137366,10.447973462821,9.7915429631676,9.0591241448366,9.1236600266161,8.2964467427801,8.3963008468155,18.687178294069,22.378161854711,25.559810254002,28.046571822068,30.329976153568,31.890358166001
Ethiopia,no data,no data,85.393602762261,136.88831354291,150.67865726711,142.3417998182,128.95956170541,77.433019756735,86.01023303728,94.255795316132,93.632600639422,97.324757533795,107.36277591799,103.69072778226,103.10411256361,78.238784528046,67.867956844022,42.39959712441,38.53377994229,35.186072561182,39.608097849562,45.325658847578,42.17550124524,47.501077773997,47.550041915522,54.455474085193,55.825596271909,57.723276819428,61.106431667727,57.603100488678,56.072219245749,58.511249666904,56.924734718648,53.913546236024,48.603544748166,43.306386551347
Finland,13.855517479821,21.893661006849,39.287610583556,54.133552250515,56.129815180027,55.151244558544,55.305976509311,52.215112763634,46.826701196939,44.010999401179,42.429750370121,40.892496611998,40.116239914874,42.687595964389,42.572342811071,39.864713061747,37.99718907789,33.904000067794,32.560677425167,41.531359527255,46.904747984246,48.271194658532,53.622467505981,56.229168807905,59.825903710542,63.641696430683,63.175921073199,61.26683574334,59.626297814792,59.010970994441,67.911564924392,68.589737415593,69.120439519178,69.765386728066,70.278124904935,70.539820160742
