"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1993-Q2","Q2-1993","PC","Percentage","0","Units",,,7.54333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1993-Q3","Q3-1993","PC","Percentage","0","Units",,,6.78666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1993-Q4","Q4-1993","PC","Percentage","0","Units",,,6.66,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1994-Q1","Q1-1994","PC","Percentage","0","Units",,,7.12,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1994-Q2","Q2-1994","PC","Percentage","0","Units",,,8.95333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1994-Q3","Q3-1994","PC","Percentage","0","Units",,,9.75333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1994-Q4","Q4-1994","PC","Percentage","0","Units",,,10.34,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1995-Q1","Q1-1995","PC","Percentage","0","Units",,,10.2062753633333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1995-Q2","Q2-1995","PC","Percentage","0","Units",,,9.25370032066667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1995-Q3","Q3-1995","PC","Percentage","0","Units",,,8.964147688,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1995-Q4","Q4-1995","PC","Percentage","0","Units",,,8.41945773533333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1996-Q1","Q1-1996","PC","Percentage","0","Units",,,8.38968253966667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1996-Q2","Q2-1996","PC","Percentage","0","Units",,,8.87914569033333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1996-Q3","Q3-1996","PC","Percentage","0","Units",,,8.22429951666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1996-Q4","Q4-1996","PC","Percentage","0","Units",,,7.34370048333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1997-Q1","Q1-1997","PC","Percentage","0","Units",,,7.58417376766667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1997-Q2","Q2-1997","PC","Percentage","0","Units",,,7.58311832633333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1997-Q3","Q3-1997","PC","Percentage","0","Units",,,6.53497490433333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1997-Q4","Q4-1997","PC","Percentage","0","Units",,,6.11740717733333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1998-Q1","Q1-1998","PC","Percentage","0","Units",,,5.85266666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1998-Q2","Q2-1998","PC","Percentage","0","Units",,,5.63341269833333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1998-Q3","Q3-1998","PC","Percentage","0","Units",,,5.50192828933333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1998-Q4","Q4-1998","PC","Percentage","0","Units",,,4.983874459,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1999-Q1","Q1-1999","PC","Percentage","0","Units",,,5.31813882533333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1999-Q2","Q2-1999","PC","Percentage","0","Units",,,5.813293651,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1999-Q3","Q3-1999","PC","Percentage","0","Units",,,6.27242424233333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1999-Q4","Q4-1999","PC","Percentage","0","Units",,,6.63339105333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2000-Q1","Q1-2000","PC","Percentage","0","Units",,,6.901982856,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2000-Q2","Q2-2000","PC","Percentage","0","Units",,,6.30091300266667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2000-Q3","Q3-2000","PC","Percentage","0","Units",,,6.17516218066667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2000-Q4","Q4-2000","PC","Percentage","0","Units",,,5.88021929833333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2001-Q1","Q1-2001","PC","Percentage","0","Units",,,5.28580266933333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2001-Q2","Q2-2001","PC","Percentage","0","Units",,,5.80581682766667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2001-Q3","Q3-2001","PC","Percentage","0","Units",,,5.80871179166667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2001-Q4","Q4-2001","PC","Percentage","0","Units",,,5.56072602466667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2002-Q1","Q1-2002","PC","Percentage","0","Units",,,6.03769444433333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2002-Q2","Q2-2002","PC","Percentage","0","Units",,,6.17228299,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2002-Q3","Q3-2002","PC","Percentage","0","Units",,,5.647968662,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2002-Q4","Q4-2002","PC","Percentage","0","Units",,,5.51788474833333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2003-Q1","Q1-2003","PC","Percentage","0","Units",,,5.238138889,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2003-Q2","Q2-2003","PC","Percentage","0","Units",,,5.05899481666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2003-Q3","Q3-2003","PC","Percentage","0","Units",,,5.42327608366667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2003-Q4","Q4-2003","PC","Percentage","0","Units",,,5.74669220133333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2004-Q1","Q1-2004","PC","Percentage","0","Units",,,5.57881159433333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2004-Q2","Q2-2004","PC","Percentage","0","Units",,,5.86885714266667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2004-Q3","Q3-2004","PC","Percentage","0","Units",,,5.57098484866667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2004-Q4","Q4-2004","PC","Percentage","0","Units",,,5.34444444433333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2005-Q1","Q1-2005","PC","Percentage","0","Units",,,5.46740371766667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2005-Q2","Q2-2005","PC","Percentage","0","Units",,,5.300067821,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2005-Q3","Q3-2005","PC","Percentage","0","Units",,,5.198432461,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2005-Q4","Q4-2005","PC","Percentage","0","Units",,,5.393988456,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2006-Q1","Q1-2006","PC","Percentage","0","Units",,,5.272268116,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2006-Q2","Q2-2006","PC","Percentage","0","Units",,,5.689187675,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2006-Q3","Q3-2006","PC","Percentage","0","Units",,,5.736325052,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2006-Q4","Q4-2006","PC","Percentage","0","Units",,,5.653708134,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2007-Q1","Q1-2007","PC","Percentage","0","Units",,,5.80789574333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2007-Q2","Q2-2007","PC","Percentage","0","Units",,,6.01178059566667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2007-Q3","Q3-2007","PC","Percentage","0","Units",,,6.02259569366667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2007-Q4","Q4-2007","PC","Percentage","0","Units",,,6.13581131666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2008-Q1","Q1-2008","PC","Percentage","0","Units",,,6.15215956566667,,
